zone_number,zone_roman,epsg,lat_0,lon_0,area_summary
1,I,2443,33.0,129.5,長崎県、鹿児島県の一部
2,II,2444,33.0,131.0,福岡県、佐賀県、熊本県、大分県、宮崎県、鹿児島県の一部
3,III,2445,36.0,132.166667,山口県、島根県、広島県
4,IV,2446,33.0,133.5,香川県、愛媛県、徳島県、高知県
5,V,2447,36.0,134.333333,兵庫県、鳥取県、岡山県
6,VI,2448,36.0,136.0,京都府、大阪府、福井県、滋賀県、三重県、奈良県、和歌山県
7,VII,2449,36.0,137.166667,石川県、富山県、岐阜県、愛知県
8,VIII,2450,36.0,138.5,新潟県、長野県、山梨県、静岡県
9,IX,2451,36.0,139.833333,東京都の一部、福島県、栃木県、茨城県、埼玉県、千葉県、群馬県、神奈川県
10,X,2452,40.0,140.833333,青森県、秋田県、山形県、岩手県、宮城県
11,XI,2453,44.0,140.25,北海道西部の一部
12,XII,2454,44.0,142.25,北海道中央部
13,XIII,2455,44.0,144.25,北海道東部
14,XIV,2456,26.0,142.0,東京都の南方諸島の一部
15,XV,2457,26.0,127.5,沖縄県の一部
16,XVI,2458,26.0,124.0,沖縄県西部
17,XVII,2459,26.0,131.0,沖縄県東部
18,XVIII,2460,20.0,136.0,東京都の南方諸島の一部
19,XIX,2461,26.0,154.0,東京都の南方諸島の一部
